,Ticker,Name,Exchange,Category Name,Country
14372,KUWERIN.BO,Kuwer Industries Limited,BSE,,India
14374,KUNSTOFF.BO,Kunststoffe Industries,BSE,,India
14385,KTKBANK.BO,Karnataka Bank Ltd.,BSE,,India
14386,KTIL.NS,Kesar Terminals & Infrastructure Limited,NSI,Business Services,India
14405,KSK.NS,KSK Energy Ventures Limited,NSI,Electric Utilities,India
14407,KSK.BO,KSK Energy Ventures Limited,BSE,,India
14409,KSERASERA.NS,KSS Limited,NSI,Entertainment - Diversified,India
14410,KSCL.NS,Kaveri Seed Company Limited,NSI,Farm Products,India
14411,KSCL.BO,Kaveri Seed Company Limited,BSE,,India
14427,KREBSBIO.BO,Krebs Biochemicals & Industries Ltd,BSE,,India
14441,KOTHARIPRO.NS,Kothari Products Limited,NSI,Industrial Metals & Minerals,India
14442,KOTHARIPRO.BO,Kothari Products Ltd,BSE,,India
14443,KOTARISUG.NS,Kothari Sugars and Chemicals Limited,NSI,Confectioners,India
14444,KOTAKBANK.BO,Kotak Mahindra Bank Limited,BSE,,India
14448,KOPRAN.NS,Kopran Limited,NSI,Drug Manufacturers - Major,India
14449,KOPRAN.BO,Kopran Limited,BSE,,India
14457,KOFFBREAK.BO,Koffee Break Pictures Limited,BSE,,India
14463,KOATOOLIN.BO,KOA Tools India Limited,BSE,,India
14468,KNRCON.NS,KNR Constructions Limited,NSI,General Contractors,India
14469,KNRCON.BO,KNR Constructions Limited.,BSE,,India
14475,KNIWE.BO,KNITWORTH EXPORTS LTD.,BSE,,India
14500,KLKELEC.BO,KLK Electrical Ltd,BSE,,India
14514,KITEX.NS,Kitex Garments Limited,NSI,Textile - Apparel Clothing,India
14517,KIRLPNU.BO,Kirloskar Pneumatic Company Ltd,BSE,,India
14518,KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSI,Diversified Machinery,India
14519,KIRANSY-B.BO,KIRAN SYNTEX LTD.,BSE,,India
14522,KILPEST.BO,Kilpest India Ltd.,BSE,,India
14523,KILBURN.BO,Kilburn Office Automation Ltd.,BSE,,India
